segment_id,channel_mode,start_seconds,end_seconds,expected_left_hz,expected_right_hz,observed_left_hz,observed_right_hz,left_error_hz,right_error_hz,left_error_cents,right_error_cents,notes
1,L,0.000000,1.200000,100.000000,0.000000,99.893555,,-0.106445,,-1.844,,
2,R,1.550000,2.750000,0.000000,100.000000,,99.893555,,-0.106445,,-1.844,
3,BOTH,3.100000,4.300000,100.000000,100.000000,99.893555,99.893555,-0.106445,-0.106445,-1.844,-1.844,
4,L,4.650000,5.850000,1000.000000,0.000000,1005.825256,,5.825256,,10.056,,
5,R,6.200000,7.400000,0.000000,1000.000000,,1005.825256,,5.825256,,10.056,
6,BOTH,7.750000,8.950000,1000.000000,1000.000000,1005.825256,1005.825256,5.825256,5.825256,10.056,10.056,
