segment_id,channel_mode,start_seconds,end_seconds,expected_left_hz,expected_right_hz,observed_left_hz,observed_right_hz,left_error_hz,right_error_hz,left_error_cents,right_error_cents,notes
1,L,0.000000,1.200000,100.000000,0.000000,106.268150,,6.268150,,105.251,,
2,R,1.550000,2.750000,0.000000,100.000000,,106.268150,,6.268150,,105.251,
3,BOTH,3.100000,4.300000,100.000000,100.000000,106.268150,106.268150,6.268150,6.268150,105.251,105.251,
4,L,4.650000,5.850000,500.000000,0.000000,498.936096,,-1.063904,,-3.688,,
5,R,6.200000,7.400000,0.000000,500.000000,,498.936096,,-1.063904,,-3.688,
6,BOTH,7.750000,8.950000,500.000000,500.000000,498.936096,498.936096,-1.063904,-1.063904,-3.688,-3.688,
7,L,9.300000,10.500000,1000.000000,0.000000,1005.825256,,5.825256,,10.056,,
8,R,10.850000,12.050000,0.000000,1000.000000,,1005.825256,,5.825256,,10.056,
9,BOTH,12.400000,13.600000,1000.000000,1000.000000,1005.825256,1005.825256,5.825256,5.825256,10.056,10.056,
